abstract,authors,id,title,url
"Computing is highly segregated and stratified by gender. While there is abundant scholarship investigating this problem, emerging evidence suggests that a hierarchy of value exists between the social and technical dimensions of Computer Science and Engineering (CSE) and this plays a role in the underrepresentation of women in the field. This ethnographic study of women's experiences in computing offers evidence of a systemic preference for the technical dimensions of computing over the social and a correlation between gender and social aspirations. Additionally, it suggests there is a gap between the exaltation of computing's social contributions and the realities of them. My participants expressed a yearning to contribute to the collective well-being of society using their computing skills. I trace moments of rupture in my participants' stories, moments when they felt these aspirations were in conflict with the cultural values in their organizations. I interpret these ruptures within a consideration of yearning, a need my participants had to contribute meaningfully to society that remained unfulfilled. The yearning to align one's altruistic values with one's careers aspirations in CSE illuminates an area for greater exploration on the path to realizing gender equity in computing. I argue that before a case can be made that careers in computing do indeed contribute to social and civil engagements, we must first address the meaning of the social within the values, ideologies and practices of CSE institutions and next, develop ways to measure and evaluate the field's contributions to society.","Carrigan CM
","(PMID:28790936
 PMCID:PMC5513966)",Yearning to Give Back: Searching for Social Purpose in Computer Science and Engineering.,https://europepmc.org/abstract/MED/28790936%0A
"The absence of accessibility in many ICT systems and products indicates insufficient accessibility competence among designers, developers and project managers. Higher education institutions play an important role in raising awareness and competence and in preparing universal design and digital accessibility specialists. Although many universities are teaching accessibility as part of the biomedical, special education and disability studies programmes, few provide accessibility education in technical specialisations such as computer science. By combining literature review and manual search and inspection we aim at investigating the state of the art in integrating universal design and digital accessibility into the curricula of computer sciences-related programmes.","Nishchyk A
Chen W
","(PMID:30371460
)",Integrating Universal Design and Accessibility into Computer Science Curricula - A Review of Literature and Practices in Europe.,https://europepmc.org/abstract/MED/30371460%0A
"While the underrepresentation of women in the fast-growing STEM field of computer science (CS) has been much studied, no consensus exists on the key factors influencing this widening gender gap. Possible suspects include gender differences in aptitude, interest, and academic environment. Our study contributes to this literature by applying student engagement research to study the experiences of college students studying CS, to assess the degree to which differences in men and women's engagement may help account for gender inequity in the field. Specifically, we use the Experience Sampling Method (ESM) to evaluate in real-time the engagement of college students during varied activities and environments. Over the course of a full week in fall semester and a full week in spring semester, 165 students majoring in CS at two Research I universities were ""beeped"" several times a day via a smartphone app prompting them to fill out a short questionnaire including open-ended and scaled items. These responses were paired with administrative and over 2 years of transcript data provided by their institutions. We used mean comparisons and logistic regression analysis to compare enrollment and persistence patterns among CS men and women. Results suggest that despite the obstacles associated with women's underrepresentation in computer science, women are more likely to continue taking computer science courses when they felt challenged and skilled in their initial computer science classes. We discuss implications for further research.","Milesi C
Perez-Felkner L
Brown K
Schneider B
","(PMID:28487664
 PMCID:PMC5403895)","Engagement, Persistence, and Gender in Computer Science: Results of a Smartphone ESM Study.",https://europepmc.org/abstract/MED/28487664%0A
"We suggest that in the framework of the Category Theory it is possible to demonstrate the mathematical and logical dual equivalence between the category of the q-deformed Hopf Coalgebras and the category of the q-deformed Hopf Algebras in quantum field theory (QFT), interpreted as a thermal field theory. Each pair algebra-coalgebra characterizes a QFT system and its mirroring thermal bath, respectively, so to model dissipative quantum systems in far-from-equilibrium conditions, with an evident significance also for biological sciences. Our study is in fact inspired by applications to neuroscience where the brain memory capacity, for instance, has been modeled by using the QFT unitarily inequivalent representations. The q-deformed Hopf Coalgebras and the q-deformed Hopf Algebras constitute two dual categories because characterized by the same functor T, related with the Bogoliubov transform, and by its contravariant application Top, respectively. The q-deformation parameter is related to the Bogoliubov angle, and it is effectively a thermal parameter. Therefore, the different values of q identify univocally, and label the vacua appearing in the foliation process of the quantum vacuum. This means that, in the framework of Universal Coalgebra, as general theory of dynamic and computing systems (""labelled state-transition systems""), the so labelled infinitely many quantum vacua can be interpreted as the Final Coalgebra of an ""Infinite State Black-Box Machine"". All this opens the way to the possibility of designing a new class of universal quantum computing architectures based on this coalgebraic QFT formulation, as its ability of naturally generating a Fibonacci progression demonstrates.","Basti G
Capolupo A
Vitiello G
","(PMID:28479315
)",Quantum field theory and coalgebraic logic in theoretical computer science.,https://europepmc.org/abstract/MED/28479315%0A
"The requirement of employability in the job market prompted universities to conduct internship training as part of their study plans. There is a need to train students on important academic and professional skills related to the workplace with an IT component. This article describes a statistical study that measures satisfaction levels among students in the faculty of Information Technology and Computer Science in Jordan. The objective of this study is to explore factors that influence student satisfaction with regards to enrolling in an internship training program. The study was conducted to gather student perceptions, opinions, preferences and satisfaction levels related to the program. Data were collected via a mixed method survey (surveys and interviews) from student-respondents. The survey collects demographic and background information from students, including their perception of faculty performance in the training poised to prepare them for the job market. Findings from this study show that students expect internship training to improve their professional and personal skills as well as to increase their workplace-related satisfaction. It is concluded that improving the internship training is crucial among the students as it is expected to enrich their experiences, knowledge and skills in the personal and professional life. It is also expected to increase their level of confidence when it comes to exploring their future job opportunities in the Jordanian market.","Jaradat GM
","(PMID:28456017
)",Internship training in computer science: Exploring student satisfaction levels.,https://europepmc.org/abstract/MED/28456017%0A
"While women are generally underrepresented in STEM fields, there are noticeable differences between fields. For instance, the gender ratio in biology is more balanced than in computer science. We were interested in how this difference is reflected in the interdisciplinary field of computational/quantitative biology. To this end, we examined the proportion of female authors in publications from the PubMed and arXiv databases. There are fewer female authors on research papers in computational biology, as compared to biology in general. This is true across authorship position, year, and journal impact factor. A comparison with arXiv shows that quantitative biology papers have a higher ratio of female authors than computer science papers, placing computational biology in between its two parent fields in terms of gender representation. Both in biology and in computational biology, a female last author increases the probability of other authors on the paper being female, pointing to a potential role of female PIs in influencing the gender balance.","Bonham KS
Stefan MI
","(PMID:29023441
 PMCID:PMC5638210)","Women are underrepresented in computational biology: An analysis of the scholarly literature in biology, computer science and computational biology.",https://europepmc.org/abstract/MED/29023441%0A
No abstract provided.,authors field is NULL.,"(PMID:27680910
)",Computer science: Ancient scroll virtually unrolled.,https://europepmc.org/abstract/MED/27680910%0A
"Women are vastly underrepresented in the fields of computer science and engineering (CS&E). We examined whether women might view the intellectual characteristics of prototypical individuals in CS&E in more stereotype-consistent ways than men might and, consequently, show less interest in CS&E. We asked 269 U.S. college students (187, 69.5% women) to describe the prototypical computer scientist (Study 1) or engineer (Study 2) through open-ended descriptions as well as through a set of trait ratings. Participants also rated themselves on the same set of traits and rated their similarity to the prototype. Finally, participants in both studies were asked to describe their likelihood of pursuing future college courses and careers in computer science (Study 1) or engineering (Study 2). Across both studies, we found that women offered more stereotype-consistent ratings than did men of the intellectual characteristics of prototypes in CS (Study 1) and engineering (Study 2). Women also perceived themselves as less similar to the prototype than men did. Further, the observed gender differences in prototype perceptions mediated the tendency for women to report lower interest in CS&E fields relative to men. Our work highlights the importance of prototype perceptions for understanding the gender gap in CS&E and suggests avenues for interventions that may increase women's representation in these vital fields.","Ehrlinger J
Plant EA
Hartwig MK
Vossen JJ
Columb CJ
Brewer LE
","(PMID:29367799
 PMCID:PMC5756563)",Do Gender Differences in Perceived Prototypical Computer Scientists and Engineers Contribute to Gender Gaps in Computer Science and Engineering?,https://europepmc.org/abstract/MED/29367799%0A
"The present paper provides insight into an emerging research discipline called Psychoinformatics. In the context of Psychoinformatics, we emphasize the cooperation between the disciplines of psychology and computer science in handling large data sets derived from heavily used devices, such as smartphones or online social network sites, in order to shed light on a large number of psychological traits, including personality and mood. New challenges await psychologists in light of the resulting ""Big Data"" sets, because classic psychological methods will only in part be able to analyze this data derived from ubiquitous mobile devices, as well as other everyday technologies. As a consequence, psychologists must enrich their scientific methods through the inclusion of methods from informatics. The paper provides a brief review of one area of this research field, dealing mainly with social networks and smartphones. Moreover, we highlight how data derived from Psychoinformatics can be combined in a meaningful way with data from human neuroscience. We close the paper with some observations of areas for future research and problems that require consideration within this new discipline.","Montag C
Duke É
Markowetz A
","(PMID:27403204
 PMCID:PMC4923556)",Toward Psychoinformatics: Computer Science Meets Psychology.,https://europepmc.org/abstract/MED/27403204%0A
No abstract provided.,"Lisman JE
","(PMID:28690580
 PMCID:PMC5481348)",Locke's View of the Hard Problem of Consciousness and Its Implications for Neuroscience and Computer Science.,https://europepmc.org/abstract/MED/28690580%0A
"The University of Pittsburgh's Department of Biomedical Informatics and Division of Pathology Informatics created a Science, Technology, Engineering, and Mathematics (STEM) pipeline in 2011 dedicated to providing cutting-edge informatics research and career preparatory experiences to a diverse group of highly motivated high-school students. In this third editorial installment describing the program, we provide a brief overview of the pipeline, report on achievements of the past scholars, and present results from self-reported assessments by the 2015 cohort of scholars. The pipeline continues to expand with the 2015 addition of the innovation internship, and the introduction of a program in 2016 aimed at offering first-time research experiences to undergraduates who are underrepresented in pathology and biomedical informatics. Achievements of program scholars include authorship of journal articles, symposium and summit presentations, and attendance at top 25 universities. All of our alumni matriculated into higher education and 90% remain in STEM majors. The 2015 high-school program had ten participating scholars who self-reported gains in confidence in their research abilities and understanding of what it means to be a scientist.","King AJ
Fisher AM
Becich MJ
Boone DN
","(PMID:28400991
 PMCID:PMC5359992)","Computer Science, Biology and Biomedical Informatics academy: Outcomes from 5 years of Immersing High-school Students into Informatics Research.",https://europepmc.org/abstract/MED/28400991%0A
"In this age of data-driven science and high-throughput biology, computational thinking is becoming an increasingly important skill for tackling both new and long-standing biological questions. However, despite its obvious importance and conspicuous integration into many areas of biology, computer science is still viewed as an obscure field that has, thus far, permeated into only a few of the biology curricula across the nation. A national survey has shown that lack of computational literacy in environmental sciences is the norm rather than the exception [Valle & Berdanier (2012) Bulletin of the Ecological Society of America, 93, 373-389]. In this article, we seek to introduce a few important concepts in computer science with the aim of providing a context-specific introduction aimed at research biologists. Our goal was to help biologists understand some of the most important mainstream computational concepts to better appreciate bioinformatics methods and trade-offs that are not obvious to the uninitiated.","Belcaid M
Toonen RJ
","(PMID:25824671
)",Demystifying computer science for molecular ecologists.,https://europepmc.org/abstract/MED/25824671%0A
No abstract provided.,"You J
","(PMID:25574001
)",Computer science. Beyond the Turing Test.,https://europepmc.org/abstract/MED/25574001%0A
"A century ago, the Welch-Rose Report established a public health education system in the United States. Since then, the system has evolved to address emerging health needs and integrate new technologies. Today, personalized health technologies generate large amounts of data. Emerging computer science techniques, such as machine learning, present an opportunity to extract insights from these data that could help identify high-risk individuals and tailor health interventions and recommendations. As these technologies play a larger role in health promotion, collaboration between the public health and technology communities will become the norm. Offering public health trainees coursework in computer science alongside traditional public health disciplines will facilitate this evolution, improving public health's capacity to harness these technologies to improve population health.","Kunkle S
Christie G
Yach D
El-Sayed AM
","(PMID:27227145
 PMCID:PMC4869246)",The Importance of Computer Science for Public Health Training: An Opportunity and Call to Action.,https://europepmc.org/abstract/MED/27227145%0A
No abstract provided.,"Legenstein R
","(PMID:25951279
)",Computer science: Nanoscale connections for brain-like circuits.,https://europepmc.org/abstract/MED/25951279%0A
"Chromosome conformation capture techniques are producing a huge amount of data about the architecture of our genome. These data can provide us with a better understanding of the events that induce critical regulations of the cellular function from small changes in the three-dimensional genome architecture. Generating a unified view of spatial, temporal, genetic and epigenetic properties poses various challenges of data analysis, visualization, integration and mining, as well as of high performance computing and big data management. Here, we describe the critical issues of this new branch of bioinformatics, oriented at the comprehension of the three-dimensional genome architecture, which we call 'Nucleome Bioinformatics', looking beyond the currently available tools and methods, and highlight yet unaddressed challenges and the potential approaches that could be applied for tackling them. Our review provides a map for researchers interested in using computer science for studying 'Nucleome Bioinformatics', to achieve a better understanding of the biological processes that occur inside the nucleus.","Shavit Y
Merelli I
Milanesi L
Lio' P
","(PMID:26433013
)",How computer science can help in understanding the 3D genome architecture.,https://europepmc.org/abstract/MED/26433013%0A
No abstract provided.,"Sandholm T
","(PMID:25574004
)",Computer science. Solving imperfect-information games.,https://europepmc.org/abstract/MED/25574004%0A
No abstract provided.,"Nelson B
","(PMID:24579095
)",Computer science: Hacking into the cyberworld.,https://europepmc.org/abstract/MED/24579095%0A
"Several studies have estimated the potential economic and social impact of the mHealth development. Considering the latest study by Institute for Healthcare Informatics, more than 165.000 apps of health and medicine are offered including all the stores from different platforms. Thus, the global mHealth market was an estimated $10.5 billion in 2014 and is expected to grow 33.5 percent annually between 2015 and 2020s. In fact, apps of Health have become the third-fastest growing category, only after games and utilities.This study aims to identify, study and evaluate the role of interdisciplinary research teams in the development of articles and applications in the field of mHealth. It also aims to evaluate the impact that the development of mHealth has had on the health and computer science field, through the study of publications in specific databases for each area which have been published until nowadays.Interdisciplinary nature is strongly connected to the scientific quality of the journal in which the work is published. This way, there are significant differences in those works that are made up by an interdisciplinary research team because of they achieve to publish in journals with higher quartiles. There are already studies that warn of methodological deficits in some studies in mHealth, low accuracy and no reproducibility. Studies of low precision and poor reproducibility, coupled with the low evidence, provide low degrees of recommendation of the interventions targeted and therefore low applicability.From the evidence of this study, working in interdisciplinary groups from different areas greatly enhances the quality of research work as well as the quality of the publications derived from its results.","Molina Recio G
García-Hernández L
Molina Luque R
Salas-Morera L
","(PMID:27454164
 PMCID:PMC4959385)",The role of interdisciplinary research team in the impact of health apps in health and computer science publications: a systematic review.,https://europepmc.org/abstract/MED/27454164%0A
No abstract provided.,"Jones N
","(PMID:24402264
)",Computer science: The learning machines.,https://europepmc.org/abstract/MED/24402264%0A
No abstract provided.,"Evans JA
","(PMID:24092715
)",Computer science. Future science.,https://europepmc.org/abstract/MED/24092715%0A
"In recent years, several publications in computer science journals have proposed new heuristic methods for parsimony analysis. This contribution discusses those papers, including methods highly praised by their authors, such as Hydra, Sampars and GA + PR + LS. Trees of comparable or better scores can be obtained using the program TNT, but from one to three orders of magnitude faster. In some cases, the search methods are very similar to others long in use in phylogenetics, but the enormous speed differences seem to correspond more to poor implementations than to actual differences in the methods themselves.","Goloboff PA
","(AGR:IND601329307
)","Computer science and parsimony: a reappraisal, with discussion of methods for poorly structured datasets",https://europepmc.org/abstract/AGR/IND601329307%0A
No abstract provided.,"Barton NH
Novak S
Paixão T
","(PMID:25009183
 PMCID:PMC4115508)",Diverse forms of selection in evolution and computer science.,https://europepmc.org/abstract/MED/25009183%0A
No abstract provided.,"Cho A
","(PMID:24948715
)","Computer science. Quantum or not, controversial computer yields no speedup.",https://europepmc.org/abstract/MED/24948715%0A
"Poker is a family of games that exhibit imperfect information, where players do not have full knowledge of past events. Whereas many perfect-information games have been solved (e.g., Connect Four and checkers), no nontrivial imperfect-information game played competitively by humans has previously been solved. Here, we announce that heads-up limit Texas hold'em is now essentially weakly solved. Furthermore, this computation formally proves the common wisdom that the dealer in the game holds a substantial advantage. This result was enabled by a new algorithm, CFR(+), which is capable of solving extensive-form games orders of magnitude larger than previously possible.","Bowling M
Burch N
Johanson M
Tammelin O
","(PMID:25574016
)",Computer science. Heads-up limit hold'em poker is solved.,https://europepmc.org/abstract/MED/25574016%0A
"Despite having made significant inroads into many traditionally male-dominated fields (e.g., biology, chemistry), women continue to be underrepresented in computer science and engineering. We propose that students' stereotypes about the culture of these fields-including the kind of people, the work involved, and the values of the field-steer girls away from choosing to enter them. Computer science and engineering are stereotyped in modern American culture as male-oriented fields that involve social isolation, an intense focus on machinery, and inborn brilliance. These stereotypes are compatible with qualities that are typically more valued in men than women in American culture. As a result, when computer science and engineering stereotypes are salient, girls report less interest in these fields than their male peers. However, altering these stereotypes-by broadening the representation of the people who do this work, the work itself, and the environments in which it occurs-significantly increases girls' sense of belonging and interest in the field. Academic stereotypes thus serve as gatekeepers, driving girls away from certain fields and constraining their learning opportunities and career aspirations.","Cheryan S
Master A
Meltzoff AN
","(PMID:25717308
 PMCID:PMC4323745)",Cultural stereotypes as gatekeepers: increasing girls' interest in computer science and engineering by diversifying stereotypes.,https://europepmc.org/abstract/MED/25717308%0A
"This paper presents an applied concept of a brain-computer interface (BCI) student research laboratory (BCI-LAB) at the Life Science Center of TARA, University of Tsukuba, Japan. Several successful case studies of the student projects are reviewed together with the BCI Research Award 2014 winner case. The BCI-LAB design and project-based teaching philosophy is also explained. Future teaching and research directions summarize the review.","Rutkowski TM
","(PMID:26737088
)",Student teaching and research laboratory focusing on brain-computer interface paradigms--A creative environment for computer science students.,https://europepmc.org/abstract/MED/26737088%0A
No abstract provided.,"Recupero DR
","(PMID:23539588
)",Computer science. Toward a green Internet.,https://europepmc.org/abstract/MED/23539588%0A
"Over the past century, medical imaging has brought a new revolution: internal anatomy of a patient could be seen without any invasive technique. This revolution has highlighted the two main limits of current anatomy: the anatomical description is physician dependent, and the average anatomy is more and more frequently insufficient to describe anatomical variations. These drawbacks can sometimes be so important that they create mistakes but they can be overcome through the use of 3D patient-specific surgical anatomy.In this article, we propose to illustrate such improvement of standard anatomy on liver. We first propose a general scheme allowing to easily compare the four main liver anatomical descriptions by Takasaki, Goldsmith and Woodburne, Bismuth and Couinaud. From this general scheme we propose four rules to apply in order to correct these initial anatomical definitions. Application of these rules allows to correct usual vascular topological mistakes of standard anatomy. We finally validate such correction on a database of 20 clinical cases compared to the 111 clinical cases of a Couinaud article.Out of the 20 images of the database, we note a revealing difference in 14 cases (70%) on at least one important branch of the portal network. Only six cases (30%) do not present a revealing difference between both labellings. We also show that the right portal fissure location on our 20 cases defined between segment V and VI of our anatomical definition is well correlated with the real position described by Couinaud on 111 cases, knowing that the theoretical position was only found in 46 cases out of 111, i.e., 41.44% of cases with the non-corrected Couinaud definition.We have proposed a new anatomical segmentation of the liver based on four main rules to apply in order to correct topological errors of the four main standard segmentations. Our validation clearly illustrates that this new definition corrects the large amount of mistakes created by the current standard definitions, increased by physician interpretation that can vary from one case to another.","Soler L
Mutter D
Pessaux P
Marescaux J
","(PMID:29075611
 PMCID:PMC5638021)",Patient specific anatomy: the new area of anatomy based on computer science illustrated on liver.,https://europepmc.org/abstract/MED/29075611%0A
"Research productivity assessment is increasingly relevant for allocation of research funds. On one hand, this assessment is challenging because it involves both qualitative and quantitative analysis of several characteristics, most of them subjective in nature. On the other hand, current tools and academic social networks make bibliometric data web-available to everyone for free. Those tools, especially when combined with other data, are able to create a rich environment from which information on research productivity can be extracted. In this context, our work aims at characterizing the Brazilian Computer Science graduate programs and the relationship among themselves. We (i) present views of the programs from different perspectives, (ii) rank the programs according to each perspective and a combination of them, (iii) show correlation between assessment metrics, (iv) discuss how programs relate to another, and (v) infer aspects that boost programs' research productivity. The results indicate that programs with a higher insertion in the coauthorship network topology also possess a higher research productivity between 2004 and 2009.","Digiampietri LA
Mena-Chalco JP
Vaz de Melo PO
Malheiro AP
Meira DN
Franco LF
Oliveira LB
","(PMID:24728179
 PMCID:PMC3984164)",BraX-Ray: an X-ray of the Brazilian computer science graduate programs.,https://europepmc.org/abstract/MED/24728179%0A
No abstract provided.,"Cho A
","(PMID:23766303
)",Computer science. Network science at center of surveillance dispute.,https://europepmc.org/abstract/MED/23766303%0A
"Linnaeus University offers two master's courses in information visualization for computer science students with programming experience. This article briefly describes the syllabi, exercises, and practices developed for these courses.","Kerren A
","(PMID:24807935
)",Information visualization courses for students with a computer science background.,https://europepmc.org/abstract/MED/24807935%0A
"To determine appropriate computer science curricula, educators sought to better understand the different affordances of teaching with a visual programming language (Alice) or a text-based language (Jython). Although students often preferred one language, that language wasn't necessarily the one from which they learned the most.","DiSalvo B
","(PMID:25388231
)",Graphical qualities of educational technology: Using drag-and-drop and text-based programs for introductory computer science.,https://europepmc.org/abstract/MED/25388231%0A
"Food quality, safety and authenticity are important issues for consumers, governments, as well as the food industry. In the last decade, several researchers have attempted to go beyond traditional microbiological, DNA-based and other methods using rapid techniques. This broad term involves a variety of sensors such as hyperspectral and multispectral imaging, vibrational spectroscopy, as well as biomimetic receptors.The resulting data acquired from the above-mentioned sensors require the application of various case-specific data analysis methods for the purpose of simple understanding and visualization of the acquired high-dimensional dataset, but also for classification and prediction purposes.It is evident that rapid techniques coupled with data analysis methods have given promising results in several food products with various sensors. Additionally there are several applications, new sensors and new algorithms that remain to be explored and validated in the future.","Ropodi AI
E.Z. Panagou
G.-J.E. Nychas
","(AGR:IND605264253
)","Data mining derived from food analyses using non-invasive/non-destructive analytical techniques; determination of food authenticity, quality & safety in tandem with computer science disciplines",https://europepmc.org/abstract/AGR/IND605264253%0A
No abstract provided.,"Hodges A
","(PMID:22499929
)",Computer science. Beyond Turing's machines.,https://europepmc.org/abstract/MED/22499929%0A
No abstract provided.,"French RM
","(PMID:22499930
)",Computer science. Dusting off the Turing test.,https://europepmc.org/abstract/MED/22499930%0A
No abstract provided.,"Janson S
","(PMID:21764738
)",Computer science. Networking--smoothly does it.,https://europepmc.org/abstract/MED/21764738%0A
No abstract provided.,"O'Grady M
O'Hare G
","(PMID:22461597
)",Computer science. How smart is your city?,https://europepmc.org/abstract/MED/22461597%0A
